
Host: localhost
root@srv1602266:~# sudo -u postgres psql -d adsas_db -c "\dt"

                 List of relations
 Schema |         Name          | Type  |  Owner   
--------+-----------------------+-------+----------
 public | ad_campaigns          | table | postgres
 public | ad_impressions        | table | postgres
 public | ad_link_clicks        | table | postgres
 public | admin_activity_log    | table | postgres
 public | ads                   | table | postgres
 public | ai_usage              | table | postgres
 public | boost_orders          | table | postgres
 public | channel_subscriptions | table | postgres
 public | channels              | table | postgres
 public | chat_messages         | table | postgres
 public | coin_packages         | table | postgres
 public | coin_purchase_orders  | table | postgres
 public | coin_recharge_codes   | table | postgres
 public | coin_transactions     | table | postgres
 public | coin_wallets          | table | postgres
 public | comments              | table | postgres
 public | consultations         | table | postgres
 public | conversations         | table | postgres
 public | coupons               | table | postgres
 public | direct_messages       | table | postgres
 public | favorites             | table | postgres
 public | follows               | table | postgres
 public | fraud_alerts          | table | postgres
 public | likes                 | table | postgres
 public | live_streams          | table | postgres
 public | messages              | table | postgres
 public | notifications         | table | postgres
 public | offers                | table | postgres
 public | payment_notifications | table | postgres
 public | payment_requests      | table | postgres
 public | platform_settings     | table | postgres
 public | push_subscriptions    | table | postgres
 public | ratings               | table | postgres
 public | reels                 | table | postgres
 public | referrals             | table | postgres
 public | renewal_orders        | table | postgres
 public | reports               | table | postgres
 public | revenue_transactions  | table | postgres
 public | sessions              | table | postgres
 public | smart_menus           | table | postgres
 public | stories               | table | postgres
 public | story_views           | table | postgres
 public | stream_moderation     | table | postgres
 public | uploaded_files        | table | postgres
 public | user_follows          | table | postgres
 public | users                 | table | postgres
 public | wallet_top_up_orders  | table | postgres
 public | wallet_transactions   | table | postgres
(48 rows)

root@srv1602266:~# 
